symbol,sector,qty_held,avg_buy_rate,status
ISL,Engineering,8,73,active
KEL,Power Generation & Distribution,105,7.32,active
LUCK,Cement,17,401.43,active
NATF,Food & Personal Care Products,25,345.4,sold
OGDC,Oil & Gas Exploration,30,279.32,active
SYS,Technology & Communication,40,137.6,active
CLOV,Food & Personal Care Products,260,7.79,active
FFC,Fertilizer,28,580.41,active
SEARL,PHARMACEUTICALS,10,98.99,active
